Key,Id,Chinese (Simplified)(zh-Hans),English(en)
"HealthMax",57908154368,"最大生命值","Max Health"
"HealthRegen",234324774912,"生命恢复","Health Regen"
"AD",362641117184,"攻击力","Attack Damage"
"AR",752115798016,"护甲","Armor"
"AD_PT",798437691392,"护甲穿透","Armor Penetration"
"AP",925214724096,"法强","Ability Power"
"MR",1052679622656,"魔抗","Resistance"
"AP_PT",1126306435072,"魔抗穿透","Resistance Penetration"
"AS",1413742088192,"攻击速度","Attack Speed"
"MS",1589449871360,"移动速度","Move Speed"
"CritChance",1669988896768,"暴击率","Crit Chance"
"CritDamage",1731838103552,"暴击伤害","Crit Damage"
"DmgRate",1946536136704,"伤害率","Damage Rate"
"LifeSteal",2012504150016,"吸血","Life Steal"
"DodgeChance",2098948755456,"闪避率","Dodge Chance"
"KnockbackResistance",2167370436608,"击退抗性","Knockback Resistance"
"BallisticSpeed",2219685990400,"弹道速度","Ballistic Speed"
"HitEffectChance",2279899418624,"撞击特效率","Hit Effect Chance"
"Knockback",2408320618496,"击退","Knockback"
"Duration",2436489564160,"球持续时间","Ball Duration"
"Luck",2524746108928,"幸运","Luck"
"Greed",2557478457344,"贪婪","Greed"
"HitDamage",2772348456960,"撞击伤害","Hit Damage"
"EffectDamage",2837012041728,"特效伤害","Effect Damage"
"HitDamageRate",2911611932672,"撞击伤害率","Hit Damage Rate"
"EffectDamageRate",2969862426624,"特效伤害率","Effect Damage Rate"
